"ID","MOTHER.ID","CUB.D.O.B","NUMBER.CUBS","MALE","FEMALE","NUMBER.INDEP","MOTHER.AGE.MONTHS","MOTHER.AGE.CLASS","MOTHER.D.O.B","LITTER.NUMBER","CERTAINTY"
62,"Kwatile","2011/02/01",1,1,NA,0,43,"ADULT_36_48","2007/07/01",1,"CERTAIN"
63,"Kwatile","2013/02/01",1,NA,NA,0,67,"ADULT_60_72","2007/07/01",2,"CERTAIN"
64,"Kwatile","2014/02/01",1,1,NA,NA,79,"ADULT_72_84","2007/07/01",3,"CERTAIN"
65,"Kwela_Kwela","2011/06/01",1,1,NA,1,61,"ADULT_60_72","2006/05/01",1,"UNCERTAIN"
66,"Kwela_Kwela","2013/10/01",1,NA,1,NA,89,"ADULT_84","2006/05/01",2,"UNCERTAIN"
67,"Little_Bush","2008/08/01",1,NA,NA,1,38,"ADULT_36_48","2005/06/01",1,"UNCERTAIN"
68,"Little_Bush","2010/08/01",1,NA,1,0,62,"ADULT_60_72","2005/06/01",2,"UNCERTAIN"
69,"Little_Bush","2011/12/01",2,NA,NA,0,78,"ADULT_72_84","2005/06/01",3,"UNCERTAIN"
70,"Little_Bush","2013/01/01",1,NA,NA,0,91,"ADULT_84","2005/06/01",4,"UNCERTAIN"
71,"Little_Bush","2014/02/01",2,1,NA,NA,104,"ADULT_84","2005/06/01",5,"UNCERTAIN"
72,"Makubela","2007/08/01",NA,NA,NA,0,44,"ADULT_36_48","2003/12/01",1,"CERTAIN"
73,"Makubela","2008/05/01",2,NA,NA,0,53,"ADULT_48_60","2003/12/01",2,"CERTAIN"
74,"Makubela","2009/01/01",2,NA,NA,0,61,"ADULT_60_72","2003/12/01",3,"CERTAIN"
75,"Makubela","2009/12/01",2,1,1,0,72,"ADULT_60_72","2003/12/01",4,"CERTAIN"
76,"Makwela","1997/03/01",NA,NA,NA,0,45,"ADULT_36_48","1993/06/01",1,"UNCERTAIN"
77,"Makwela","1998/01/01",NA,NA,NA,0,55,"ADULT_48_60","1993/06/01",2,"UNCERTAIN"
78,"Makwela","1998/12/01",NA,NA,NA,0,66,"ADULT_60_72","1993/06/01",3,"UNCERTAIN"
79,"Makwela","1999/11/01",2,2,NA,2,77,"ADULT_72_84","1993/06/01",4,"UNCERTAIN"
80,"Makwela","2001/12/01",3,NA,3,3,102,"ADULT_84","1993/06/01",5,"UNCERTAIN"
81,"Makwela","2004/01/01",NA,1,NA,1,127,"ADULT_84","1993/06/01",6,"UNCERTAIN"
82,"Makwela","2005/12/01",NA,NA,NA,0,150,"ADULT_84","1993/06/01",7,"UNCERTAIN"
83,"Makwela","2006/05/01",1,NA,1,1,155,"ADULT_84","1993/06/01",8,"UNCERTAIN"
84,"Makwela","2008/04/01",3,NA,NA,0,178,"ADULT_84","1993/06/01",9,"UNCERTAIN"
85,"Makwela","2009/02/01",NA,NA,NA,0,188,"ADULT_84","1993/06/01",10,"UNCERTAIN"
86,"Mambiri","2006/11/01",2,NA,1,1,59,"ADULT_48_60","2001/12/01",1,"CERTAIN"
87,"Mambiri","2009/04/01",2,NA,1,1,88,"ADULT_84","2001/12/01",2,"CERTAIN"
88,"Mashaba","2012/08/01",2,NA,1,1,47,"ADULT_36_48","2008/09/01",1,"CERTAIN"
89,"Mashaba","2014/03/01",3,NA,NA,0,66,"ADULT_60_72","2008/09/01",2,"CERTAIN"
90,"Matshapiri","2005/12/01",2,NA,1,1,62,"ADULT_60_72","2000/10/01",1,"CERTAIN"
91,"Matshapiri","2008/08/01",1,1,NA,1,94,"ADULT_84","2000/10/01",2,"CERTAIN"
92,"Matshapiri","2011/11/01",2,1,1,1,133,"ADULT_84","2000/10/01",3,"CERTAIN"
93,"Matshapiri","01/01/2015",2,NA,NA,NA,171,"ADULT_84","2000/10/01",4,"CERTAIN"
94,"Metsi","2010/03/01",2,2,NA,2,40,"ADULT_36_48","2006/11/01",1,"CERTAIN"
95,"Metsi","2012/08/01",1,NA,1,1,69,"ADULT_60_72","2006/11/01",2,"CERTAIN"
96,"Mother","1979/09/01",2,NA,2,2,45,"ADULT_36_48","1975/12/01",1,"UNCERTAIN"
97,"Mother","1981/08/01",2,1,1,2,68,"ADULT_60_72","1975/12/01",2,"UNCERTAIN"
98,"Mother","1983/01/01",3,NA,1,1,85,"ADULT_84","1975/12/01",3,"UNCERTAIN"
99,"Mother","1984/04/01",2,1,1,2,100,"ADULT_84","1975/12/01",4,"UNCERTAIN"
100,"Mother","1985/10/01",2,1,1,2,118,"ADULT_84","1975/12/01",5,"UNCERTAIN"
101,"Mother","1987/01/01",NA,NA,NA,0,133,"ADULT_84","1975/12/01",6,"UNCERTAIN"
102,"Mother","1987/06/01",1,1,NA,1,138,"ADULT_84","1975/12/01",7,"UNCERTAIN"
103,"Mother","1988/08/01",2,NA,1,1,152,"ADULT_84","1975/12/01",8,"UNCERTAIN"
104,"Mother","1989/10/01",1,1,NA,1,166,"ADULT_84","1975/12/01",9,"UNCERTAIN"
105,"Mxabene","2001/11/01",NA,NA,NA,0,46,"ADULT_36_48","1998/01/01",1,"CERTAIN"
106,"Mxabene","2002/04/01",2,1,1,1,51,"ADULT_48_60","1998/01/01",2,"CERTAIN"
107,"Mxabene","2004/06/01",2,NA,NA,0,77,"ADULT_72_84","1998/01/01",3,"CERTAIN"
108,"Mxabene","2005/11/01",2,NA,NA,0,94,"ADULT_84","1998/01/01",4,"CERTAIN"
109,"Mxabene","2006/04/01",2,2,NA,1,99,"ADULT_84","1998/01/01",5,"CERTAIN"
110,"Mxabene","2008/09/01",2,2,NA,2,128,"ADULT_84","1998/01/01",6,"CERTAIN"
111,"Mxabene","2011/01/01",NA,NA,NA,0,156,"ADULT_84","1998/01/01",7,"CERTAIN"
112,"Mxabene","2012/09/01",1,NA,NA,0,176,"ADULT_84","1998/01/01",8,"CERTAIN"
113,"Nanga","2013/06/01",2,2,NA,1,47,"ADULT_36_48","2009/07/01",1,"CERTAIN"
114,"Nanga","2014/05/01",2,NA,NA,NA,58,"ADULT_48_60","2009/07/01",2,"CERTAIN"
115,"Ngoboswan","1997/12/01",2,NA,1,1,45,"ADULT_36_48","1994/03/01",1,"UNCERTAIN"
116,"Ngoboswan","1999/10/01",3,1,2,2,67,"ADULT_60_72","1994/03/01",2,"UNCERTAIN"
117,"Ngoboswan","2001/11/01",3,1,2,2,92,"ADULT_84","1994/03/01",3,"UNCERTAIN"
118,"Ngoboswan","2004/10/01",NA,NA,NA,0,127,"ADULT_84","1994/03/01",4,"UNCERTAIN"
119,"Ngoboswan","2005/02/01",3,NA,NA,0,131,"ADULT_84","1994/03/01",5,"UNCERTAIN"
120,"Ngoboswan","2005/11/01",2,1,NA,1,140,"ADULT_84","1994/03/01",6,"UNCERTAIN"
121,"Ngoboswan","2007/10/01",2,NA,1,1,163,"ADULT_84","1994/03/01",7,"UNCERTAIN"
122,"Nottens","1998/11/01",2,NA,2,2,37,"ADULT_36_48","1995/10/01",1,"CERTAIN"
123,"Nottens","2001/10/01",2,NA,NA,0,72,"ADULT_60_72","1995/10/01",2,"CERTAIN"
124,"Nottens","2002/11/01",1,NA,1,0,85,"ADULT_84","1995/10/01",3,"CERTAIN"
125,"Nottens","2003/09/01",2,NA,NA,0,95,"ADULT_84","1995/10/01",4,"CERTAIN"
126,"Nottens","2005/03/01",2,NA,NA,0,113,"ADULT_84","1995/10/01",5,"CERTAIN"
127,"Nottens","2006/06/01",2,NA,1,1,128,"ADULT_84","1995/10/01",6,"CERTAIN"
